Result
"Global analysis of the mRNA, protein, and metabolite responses to spaceflight across all GeneLab data ( Fig. 1A – 1D and Table S1 ) was performed by calculating the average ..."
No result found
"Here we conducted a meta-analysis of six independent transcriptomic datasets (GLDS-4, -244, -245, -246, -288, and -289) from experimental mice obtained during four different spaceflight missions (STS-118, TCU (SpaceX-9), MHU-2 ..."
"There are three distinct steps to the RCP, the first of which is data preprocessing ( Figure 2 A). The pipeline begins with quality control (QC) of raw FASTQ files ..."
"To identify specific cellular microenvironments affected by spaceflight, we combined the techniques of spatial transcriptomics (ST; 10X Genomics Visium) and single-nucleus multiomics (snMultiomics; gene expression and chromatin accessibility; 10× Genomics ..."
No result found
No result found
"It has been shown that the central nervous system (CNS) of Mus musculus exhibits severe abnormalities after exposure to spaceflight. For example, neuroinflammation has been identified following ionizing radiation individually ..."
"A paradigm shift has occurred in modern space biosciences, where reliable data reuse is now essential, as well as science being interdisciplinary, inclusive, and maximally transparent. To enable large communities ..."
When CavKO were first generated one of the first phenotypes characterized was a change in blood vascular endothelial cell density in some tissues and increased vessel permeability in others 10 ...
We compared fungal communities in dust from the ISS and Earth-based residential homes. These samples are referred to as “original dust” and are the dust collected from vacuum bags from ...
Dust was received from four vacuum bags from the ISS with an average initial fungal concentration of 4.39 × 10 6 spore equivalents (SE)/mg dust and an average bacterial load ...
"Body mass ( Table 1 ) was higher in old vs. young intact animals. Body mass was greater in young OVX vs. young intact, and OVX+E2 decreased body mass in ..."
"Body mass was not different among Con (439 ± 11 g), 7-d HU (425 ± 12 g) and 14-d HU (418 ± 10 g) rats. Soleus muscle mass of 7-d ..."
Body mass and mean arterial pressure at rest and during exercise are described in Table 1 . The efficacy of the training program was confirmed with a significant increase in ...
"For STS-131 mice, total body mass was not different between GC and SF mice (22.0±0.4 vs. 20.9±0.7 g, respectively). Total body mass of STS-133 GC mice (21.7±0.2 g) was greater ..."
"Preflight body mass (20.7±0.4 g) of SF mice was greater ( P <0.05) than postflight body mass (18.4±0.5 g). Likewise, body mass (20.8±0.3 g) of GC mice was greater ( ..."
"Body mass of SED animals (461 ± 18 g) was greater (P<0.05) than that of ET animals (406 ± 8 g). MAP at rest (SED: 161 ± 8, ET: 160 ..."
"Body mass of HU rats was ∼8% lower than that of CON animals ( Table 1 ). The mass of soleus muscle, a postural hindlimb muscle composed predominantly of slow-twitch ..."
"Body mass was greater in obese ZDF rats in the pre-diabetic, short-term and long-term diabetic conditions relative to the age-matched lean controls ( Table 1 ). Blood glucose concentration was ..."
Preflight and postflight body masses did not differ among groups ( Table 2 ). Absolute and relative soleus and gastrocnemius muscle masses were lower postflight in SF mice relative to ...
"The group of all flight astronauts was comprised of 5 females and 37 males, of which the LEO astronaut subgroup contained 5 females and 30 males and the Apollo lunar ..."
Body weight increased with age ( Table 1 ). Exercise training reduced body weight in both young and old rats. Both heart weight and left ventricular weight increased with age ...
Immunocytochemical analysis by terminal deoxynucleotidyltransferase dUTP nick-end labeling (TUNEL) assay showed that spaceflight conditions induced significant apoptosis in the retinal endothelial cells ( Figure 1 A) relative to that in ...
"At the beginning of the experiment, body weights of rats from control and HU groups were 316 ± 6 g ( n = 10) and 310 ± 9 g ( ..."
"To study the effects of spaceflight on retinal tissue epigenomic and transcriptomic changes, we constructed 18 reduced representation bisulfite sequencing (RRBS) libraries with one sample being removed from downstream analysis ..."
"The total areas of the utricular and saccular receptor epithelia were measured (n = 3 - 16 maculae) for each developmental day from E6–E15, P0 (hatch), and for post-hatch days ..."
"Responses were obtained from 56 convergent neurons in the vestibular nuclear complex (VNC), each of which was sensitive to both rotational and linear translational motion. Responses from a single representative ..."
"To examine whether Ca V 1.2 contributes to development of the auditory ossicles and the otic capsule, we tested whether increasing Ca 2+ signaling specifically through Cav1.2 affected the structure ..."
Human OLs were grown in OSM for four days in 1G or sim-μG. Cells appeared as healthy OLs with cell processes when viewed under phase contrast. The only visible difference ...
"This experiment was designed to ascertain the proliferation of NSCs solely while in microgravity. In order to elucidate if NSCs in “space microgravity” proliferate, we used the Type IV automated ..."
No result found
"Observations of SPC-exposed NSCs revealed that although these cells proliferated more than their ground control counterparts, a sub-population of them attempted to divide unsuccessfully. These abnormally dividing cells displayed two ..."
"Upon return from the space flight on board SpX-21, OLPs were recovered from the passive flying hardware, seeded onto glass bottom flaskets and placed in the time-lapse system to ascertain ..."
"Secretomes of the OLPs kept for 26 days in 1G (1G OLP 26D) or SPC (SPC OLP 26D) were compared to the reference medium (OSM alone), using five biological replicates ..."
We performed metabolomic analysis on the culture medium from control Earth-grounded NSCs (GC-NSCs; 1 G) and space-flown NSCs (SPC-NSCs; 0 G). The 3D “secretome” (conditioned culture medium) was produced and ...
No result found
"RNAlater is widely used as an RNA preservative, primarily because it is a strong protein denaturant. Proteins can be recovered from RNAlater-preserved materials (van Eijsden et al. , 2013 ), ..."
No result found
"Arabidopsis ecotypes Wassilewskija (WS) and Columbia (Col-0) differ in their skewing and waving behaviors, where WS demonstrates strong skewing and waving while Col-0 waves like WS but does not greatly ..."
No result found
"In contrast to the focused lighting and environmentally controlled habitat used in the APEX01 experiment [ 18 , 38 ], the CARA Petri plates were deployed to a wall inside ..."
No result found
"A detailed benchside protocol for development and use of the SI‐NDVI imager in controlled plant stress assays is available in Appendix 1 . A GoPro Hero4 Black camera (GoPro Inc., ..."
"Transcriptome data were obtained from the two root tip zones (Fig. 1 ) through both microarray and RNA‐Seq. A total of approximately 33,500 and 22,700 genes were detected as expressed ..."
No result found
The FEG produced a total of around 268 kg of fresh edible biomass. Most of this food was consumed by the 10 person strong winter-over crew. Small amounts were set ...
"APEX-03 seedling growth in occurred in the Veggie hardware on the ISS ( Figure 1A ). Veggie is housed in the Columbus module ( Figure 1A , left), and for ..."
Spaceflight (SF) AC samples demonstrated less proteoglycan compared to AC ground controls (GC) (Fig. 1a ). Decreased proteoglycan levels were generally restricted to the femoral condyle rather than the tibial ...
No result found
"Previous studies showed that the phenomenon of daily venting of symbionts by adult E. scolopes depends on an exogenous ‘dawn’ light cue, i.e., onset of light in animals entrained to ..."
"Our sequencing efforts have resulted in the most comprehensive cephalopod genome assembly to date, revealing the expansive and highly repetitive nature of the E. scolopes genome. Using a hybrid approach ..."
"To determine the potential impact of modeled microgravity on LPS release during growth, cultures of wild-type V. fischeri ES114 were grown in HARV reactors in the LSMMG and gravity positions ..."
"Linkage information from chromosome conformation capture allowed us to reconstruct 46 chromosomal scaffolds in E. scolopes (“Methods”, Supplementary Notes 1 and 2 , Supplementary Fig. 1a, b ) based on ..."
"To elucidate the apoptosis machinery in the bobtail squid, a detailed map of the putative pathways for apoptosis in the squid host was generated by data-mining the reference transcriptome and ..."
"Scaffold structure did not have any significant effect on the amounts of DNA, total collagen, or GAG in constructs cultured statically for 21 days in DM1 ( Table 2 , ..."
"Construct wet and dry weight increased significantly with culture time in both groups ( Table 2 ). In the chondrogenic group, the upward-facing surfaces were smooth and hyaline like ( ..."
No result found
"Four treatment groups from a single cohort of 32 weeks-old female mice included two spaceflight groups flown to the ISS on SpaceX-13: FLT_LAR, returned to Earth after 29 days of ..."
Our previous findings have indicated that S. marcescens exposed to LSMMG for 24 h grow at a faster rate inside the host after infection and caused increased host lethality in ...
"Cohnella sp. F6_2S_P_1 T isolated from the ISS was subjected to polyphasic taxonomic characterization to determine its phylogenetic affiliation. In addition, WGSs of C. ginsengisoli and C. rhizosphaerae were generated ..."
"Out of the 42 ISS metagenomes submitted at NCBI, only PMA-treated metagenomes ( n = 21) representing the viable/intact cells were used for generating bacterial MAGs. Characteristics of MAGs ( ..."
"Probiotic intervention studies in hospitals [ 22-24 , 99 , 100 ] have demonstrated the potential to revolutionize cleaning approaches in healthcare facilities. However, much is still unknown about their ..."
No result found
We screened an ethyl methylsulfonate-mutagenized population (approximately 5000 lines) of the rice ( Oryza sativa L.) cultivar Zhonghua11 and isolated a mutant with root coiling phenotype when grown in hydroponic ...
We screened an ethyl methylsulfonate-mutagenized population (approximately 5000 lines) of the rice ( Oryza sativa L.) cultivar Zhonghua11 and isolated a mutant with root coiling phenotype when grown in hydroponic ...
Arabidopsis seedlings were grown in a thin layer of gel and a ∼500 µm × 500 µm region of the gel covering the root apex was removed to allow localized ...
We screened an ethyl methylsulfonate-mutagenized population (approximately 5000 lines) of the rice ( Oryza sativa L.) cultivar Zhonghua11 and isolated a mutant with root coiling phenotype when grown in hydroponic ...
"Amyloplast sedimentation in shoots has been well characterized by live-cell microscopy in inflorescence stems ( Morita et al. , 2002 ; Saito et al. , 2005 ; Toyota et al. ..."
The experimental investigation of Choi et al. (2014) highlighted a number of different Ca 2+ wave speeds in roots in response to chemical perturbations and in mutant lines of Arabidopsis ...
"The RBOHD protein is expressed in almost all tissues of Arabidopsis, including epidermis, mesophyll, stomata, and vascular bundles ( Hao et al., 2014 ; Morales et al., 2016 ). To ..."
Figure 3 and Figure 4 are representative results from an experiment comparing an aphid-treated leaf with an untreated control. A highly localized increase in GFP fluorescence can be seen around ...
No result found
"During the genetic screening of the rolling circle amplification-mediated hairpin RNA (RMHR)-based Arabidopsis library 19 , 20 for mutants with altered defense response to a disastrous plant fungal pathogen Botrytis ..."
"As the volume of spaceflight omics-level data increases, its power will lie in researchers' ability to mine both within and across multiple datasets. Such comparisons will provide an important source ..."
"The aca4/11 tonoplast ACA pump knockout shows an enhanced defense response, but its effects on Ca 2+ dynamics are unstudied ( 14 ). We therefore monitored cytoplasmic Ca 2+ dynamics ..."
No result found
"To conclude, we have introduced a data mining visualization tool, the Rad-Bio-App, enabling the rapid identification of omics datasets deposited in the NASA GeneLab data repository, which are relevant for ..."
No result found
One method to assess the similarities and differences in transcriptome-level responses between different plant spaceflight experiments is to make comparisons using the results of the analyses already presented in the ...
"Body weights were measured weekly during the experiment. Sham-irradiated mice gained 10% body mass from 10–14 wk of age ( Figure 1 . inset, R 2 = 0.96, P < ..."
"To determine the extent of bone loss over the short term, mice were irradiated with 56 Fe ions (600 MeV) or were sham irradiated (0 Gy controls), then 7 days ..."
"To determine if harvest times post-euthanasia alters RNA quality, freshly-dissected spleens and livers were isolated at various time points, preserved as shown in Fig 1 and Table 1 , and ..."
"Although scRNA-seq has extensively profiled vascular changes in cardiovascular and metabolic diseases, a detailed single-cell analysis of arterial adaptations in hindlimb-suspended rats remains absent. We performed a systematic scRNA-seq study ..."
No result found
No result found
"Mice flown on the RR-1 mission were designated as either NASA “Validation” mice (Female C57BL/6J, 16 wks) or ISS National Lab “Experimental” mice (Female C57BL/6NTac, 32 wks) to achieve the ..."
CSA of skeletal muscle fibres was analysed in the mid-belly region of gastrocnemius in control and unloaded mice. The measurements were performed on cryosections stained with haematoxylin–eosin. Gastrocnemius muscle fibres ...
"We performed unbiased hierarchical clustering of cytokine protein expression to gain insight into the impacts of our main experimental variables, loading state (NL: normally loaded or HU), housing environment (single ..."
"During efforts to isolate mutants in the 72D-F region, we conducted an F2 EMS mutagenesis screen against Df(3L)ED220 , which deletes 324,210 bp of chromosome 3L:16,080,584–16,404,777 (see Materials and Methods). ..."
"Larvae of parasitic wasps of the Leptopilina genus feed on Drosophila larval host tissues, and eclose into free-living adults ( Fig 1 A ). The VLP-producing generalist/specialist L. heterotoma ( ..."
"A purely sequence-based analysis of the D . melanogaster genome (Release 6.04, February 24th, 2015) using traditional sequence analysis tools ( e . g ., BLASTP) failed to identify potential ..."
A comparative study of the proteomes of the MSEVs from Lh 14 and Lh NY strains previously generated a list of 161 “common” MSEV proteins ( Heavner et al. 2017 ...
"Fly survival was significantly lower when infected with spaceflight-exposed Serratia marcescens samples compared to the ground control bacterial samples (Fig. 1 ). For the first spaceflight sample (Space 1), survival ..."
"Lb17 attack triggers lamellocyte differentiation in the larval lymph gland cortex ( Fig 1A–1C ). At an equivalent time-point, Lh -infected lobes are significantly smaller ( Fig 1D–1K ); [ ..."
No result found
"Lb and Lh females attack their larval hosts, introducing one or more egg and venom into the host’s body cavity. Depending on the host’s ability to defend itself and the ..."
"Lb and Lh females attack their larval hosts, introducing one or more egg and venom into the host’s body cavity. Depending on the host’s ability to defend itself and the ..."
"Figure 2 a shows the growth of TK6 cells cultured in regular RPMI medium in a CO 2 incubator and COI medium. Compared to the RPMI medium, cell growth was ..."
"Because we cannot distinguish the individual parameters that include flight, lack of gravity, and increased radiation, for the purposes of this paper, these are referred to collectively as “spaceflight” throughout ..."
"Expression of the stress response genes, SSA4 and RPL34b, was measured using eGFP fusion protein expression clones. Stress promoter dependence was assessed by comparing the eGFP signal of the parent ..."
"Liver and kidney tissues showed similar gene response to spaceflight. Figure 1 shows responses of 12,489 genes in liver versus kidney, expressed as a fold change in space flown versus ..."
Using the ideal bodyweight to calculate the appropriate dose of liposomal-AmB for obese patients with C albidus meningitis is both efficacious and safe. Based on the systematic review of CNS ...
No result found
"As the viscosity of CM increased with concentration, the mean flow rate of CM decreased, particularly at high iodine concentrations of more than 200 mg/dL, which was pronounced at 2 ..."
A total of 168 patients who met inclusion criteria were enrolled in this study ( Figure 1 ). Basic demographic details of all patients are presented in e Table 2 ...
"Following spaceflight, lumbar lordosis decreased (flattened) in all six subjects (average change: −11.1%, p=.009; Table ). After comparing the sums of lumbar disc wedging (L1–L2 through L5–S1) and lumbar vertebral ..."
"Mice from both the ground control and spaceflight groups were judged to be healthy by a veterinarian at NASA Kennedy Space Center. During the first two days, mice from the ..."
"In children with ILBP, the 4 kg and 8 kg backpacks significantly compressed the L5-S1 disc height in relation to standing by 1.0 ± 0.2 mm (9.8 ± 3.7 % ..."
"Spaceflight reduced bending strength by 17% relative to controls (6.27 ± 0.94 vs. 7.53 ± 1.13 N, p <0.05), shortened the toe region by 32% (0.53 ± 0.13 vs. 0.77 ..."
Our previous µCT analysis on STS-131 S F calvaria show that 15 days of spaceflight results in a 30% increase in bone volume in spaceflight mice calvaria compared to control ...
"The effect of LSMMG exposure time had to be assessed with bacteria in the same phase of growth, as we found stress resistance altered as the M. marinum progressed from ..."
"The average growth rate of vertically grown, nonclinorotated roots (controls) was 0.81 ± 0.03 mm h −1 . The speed of clinorotation did not affect growth of horizontally clinorotated roots ..."
Salt stress had a major influence on seed germination in the absence of priming treatment. Significantly lower seed germination metrics were observed in the salt-stressed non-primed cauliflower seeds (NPS) than ...
"Pinnae of dried Pleopeltis fronds curled tighter with increasing temperature treatment ( Figures 2A–C ). Dried tissue showed no effects, but discolorations became visible after rehydration. Exposure to 55°C resulted ..."
"As reported earlier [ 1 ], dicotyledonous plants such as Brassica, Radish and Flax show a bi-phasic and combined graviresponse of the root-shoot axis. The time course of curvature involves ..."
"Each MFC contained eight seed cassettes with ten seeds each. Seed germination in the two MFCs with HGMFs was higher than in the non-magnetic chamber (Table 1 ), indicating that ..."
The data and inferences described so far clearly indicate that the functional domains of membranes are critically important for signal integration and responses. We hope that this review will prompt ...
"We chose to characterize MSL10 in X. laevis oocytes, an established system for the expression and electrophysiological characterization of heterologous ion channels, including those from plants ( 19 ). The ..."
"To identify candidate genes underlying mechanosensation, we previously performed transcriptome analysis of the sensory ganglia innervating the ultra-sensitive tactile organ (the star) of the star-nosed mole ( Gerhold et al., ..."
No result found
No result found
"When grown on solid medium for over 14 days, msl2 msl3 double mutant plants developed a proliferating mass of undifferentiated cells, or callus, at the apex of the plant ( ..."
No result found
"Simulated microgravity had a profound effect on both the extent and kinetics of cell spreading ( Figure 2 ). After the initial 10-min cell attachment and before rotation commenced, all ..."
